raw_name,standard_name
AU Small Finance Bank,AU Small Finance Bank
AU Small Finance Bank (Erstwhile Fincare),AU Small Finance Bank
AU small Finance Bank,AU Small Finance Bank
Airtel Payments Bank,Airtel Payments Bank Ltd
Airtel Payments Bank Limited,Airtel Payments Bank Ltd
Airtel Payments Bank Ltd,Airtel Payments Bank Ltd
Airtel Payments Bank Ltd.,Airtel Payments Bank Ltd
Andhra Pradesh Grameena Bank,Andhra Pradesh Grameena Bank
Andhra Pradesh Grameena Vikas Bank,Andhra Pradesh Grameena Bank
Andhra Pradesh Grameena Vikas Bank - IMPS,EXCLUDE
Andhra Pragathi Grameena Bank,Andhra Pradesh Grameena Bank
Axis Bank,Axis Bank Ltd
Axis Bank Credit Card,EXCLUDE
Axis Bank Ltd,Axis Bank Ltd
Axis Bank Ltd.,Axis Bank Ltd
Axis bank Ltd.,Axis Bank Ltd
BANDHAN BANK LIMITED,Bandhan Bank Ltd
Bandhan Bank,Bandhan Bank Ltd
Bandhan Bank Limited,Bandhan Bank Ltd
Bandhan Bank Ltd.,Bandhan Bank Ltd
Bandhan Bank limited,Bandhan Bank Ltd
Bank Of India,Bank of India
Bank of Baroda,Bank of Baroda
Bank of India,Bank of India
Bank of Maharashtra,Bank of Maharashtra
Baroda U.P. Bank,Uttar Pradesh Gramin Bank
Baroda U.P. Bank (Erstwhile Baroda Uttar Pradesh Gramin Bank),Uttar Pradesh Gramin Bank
Baroda UP Gramin Bank,Uttar Pradesh Gramin Bank
Baroda Uttar Pradesh Gramin Bank,Uttar Pradesh Gramin Bank
CHAITANYA GODAVARI GRAMEENA BANK,Andhra Pradesh Grameena Bank
CITI,Citibank
CITI Bank,Citibank
CITI bank,Citibank
CITIBANK CORPORATE,Citibank
Canara Bank,Canara Bank
Central Bank Of India,Central Bank of India
Central Bank of India,Central Bank of India
Citi Bank,Citibank
Citibank,Citibank
City Union Bank,City Union Bank Ltd
City Union Bank Limited,City Union Bank Ltd
Cosmos Bank,Cosmos Bank
DBS Bank India Limited,DBS Bank India Ltd
DBS Bank India Ltd.,DBS Bank India Ltd
EQUITAS SMALL FINANCE BANK,Equitas Small Finance Bank Ltd
ESAF SMALL FINANCE BANK LTD,ESAF Small Finance Bank Ltd
ESAF Small Finance Bank Ltd,ESAF Small Finance Bank Ltd
ESAF Small Finance Bank Ltd.,ESAF Small Finance Bank Ltd
Equitas Bank,Equitas Small Finance Bank Ltd
Equitas Small Finance Bank,Equitas Small Finance Bank Ltd
Equitas Small Finance Bank Ltd,Equitas Small Finance Bank Ltd
Federal Bank,Federal Bank Ltd
Federal Bank Ltd.,Federal Bank Ltd
Federal bank Ltd.,Federal Bank Ltd
Fincare Small Finance Bank Limited,AU Small Finance Bank
Fincare Small Finance Bank Ltd,AU Small Finance Bank
Fino Payments Bank Limited,Fino Payments Bank Ltd
Fino Payments Bank Limited FIP,EXCLUDE
Fino Payments Bank Ltd.,Fino Payments Bank Ltd
HDFC BANK LTD,HDFC Bank Ltd
HDFC BANK LTD.,HDFC Bank Ltd
HDFC Bank,HDFC Bank Ltd
HDFC Bank Credit Card HCB,EXCLUDE
HDFC Bank Ltd,HDFC Bank Ltd
HDFC Bank Ltd.,HDFC Bank Ltd
ICICI Bank,ICICI Bank Ltd
ICICI Bank Credit Card,EXCLUDE
ICICI Bank Ltd,ICICI Bank Ltd
ICICI Bank Ltd.,ICICI Bank Ltd
IDBI Bank,IDBI Bank Ltd
IDBI Bank Limited,IDBI Bank Ltd
IDBI Bank Ltd.,IDBI Bank Ltd
IDFC Bank Ltd.,IDFC First Bank Ltd
IDFC FIRST Bank,IDFC First Bank Ltd
IDFC First Bank,IDFC First Bank Ltd
IDFC First Bank Ltd,IDFC First Bank Ltd
INDIA POST PAYMENTS BANK LIMITED,India Post Payments Bank Ltd
INDUSIND BANK,Indusind Bank Ltd
INDUSIND BANK Ltd.,Indusind Bank Ltd
India Post Payment Bank,India Post Payments Bank Ltd
India Post Payments Bank Limited,India Post Payments Bank Ltd
India Post Payments Bank Ltd,India Post Payments Bank Ltd
India Post Payments Bank Ltd.,India Post Payments Bank Ltd
Indian Bank,Indian Bank
Indian Overseas Bank,Indian Overseas Bank
IndusInd Bank Ltd.,Indusind Bank Ltd
Indusind Bank,Indusind Bank Ltd
Indusind Bank Ltd.,Indusind Bank Ltd
JIO PAYMENTS BANK LTD,Jio Payments Bank Ltd
JIO Payments Bank Ltd,Jio Payments Bank Ltd
Jammu and Kashmir Bank,The Jammu And Kashmir Bank Ltd
Jio Payments Bank,Jio Payments Bank Ltd
Jio Payments Bank Limited,Jio Payments Bank Ltd
Jio Payments Bank Ltd,Jio Payments Bank Ltd
Jio Payments Bank limited,Jio Payments Bank Ltd
KERALA GRAMIN BANK,Kerala Gramin Bank
Karnataka Bank,Karnataka Bank Ltd
Karnataka Bank Ltd,Karnataka Bank Ltd
