bank_name,total_volume_mn,total_failed_mn,total_value_at_risk_crores,months_present,weighted_td_pct,benchmark_failed_mn,benchmark_value_at_risk_crores,avoidable_value_at_risk_crores
State Bank of India,119005.91,619.4822819999999,97630.41,26,0.52,83.30413700000001,13128.73,84501.68
India Post Payments Bank Ltd,13158.84,159.622871,25156.56,26,1.21,9.211188000000002,1451.68,23704.88
Bank of India,14062.9,122.450754,19298.24,26,0.87,9.844030000000002,1551.42,17746.82
Union Bank of India,27758.22,111.46908400000001,17567.53,26,0.4,19.430754000000004,3062.29,14505.24
Canara Bank,21580.739999999998,89.989154,14182.29,26,0.42,15.106518000000001,2380.79,11801.5
Central Bank of India,6737.45,82.824677,13053.17,26,1.23,4.716215000000001,743.28,12309.89
Punjab National Bank,24923.93,76.393402,12039.6,26,0.31,17.446751000000003,2749.61,9289.99
Bank of Baroda,30118.87,68.767255,10837.72,26,0.23,21.083209000000004,3322.71,7515.01
Kotak Mahindra Bank Ltd,22495.66,59.457407,9370.49,26,0.26,15.746962000000002,2481.72,6888.77
Indian Overseas Bank,7000.15,57.661541,9087.46,26,0.82,4.900105000000001,772.26,8315.2
Airtel Payments Bank Ltd,13772.24,55.838918,8800.21,26,0.41,9.640568000000002,1519.35,7280.86
Uttar Pradesh Gramin Bank,974.61,54.396936000000004,8572.96,25,5.58,0.6822270000000001,107.52,8465.44
The Jammu And Kashmir Bank Ltd,2134.99,38.798721,6114.68,26,1.82,1.494493,235.53,5879.15
Andhra Pradesh Grameena Bank,920.92,32.974021,5196.71,25,3.58,0.6446440000000001,101.6,5095.11
IDBI Bank Ltd,4761.68,28.937477,4560.55,26,0.61,3.333176000000001,525.31,4035.24
Bank of Maharashtra,4928.04,28.77058,4534.24,26,0.58,3.4496280000000006,543.66,3990.58
Fino Payments Bank Ltd,4750.9,28.187124,4442.29,25,0.59,3.3256300000000003,524.12,3918.17
HDFC Bank Ltd,36122.65,25.722580999999998,4053.88,26,0.07,25.285855000000005,3985.05,68.83
Karnataka Grameena Bank,897.71,25.177716,3968.01,26,2.8,0.6283970000000001,99.04,3868.97
Bandhan Bank Ltd,1988.05,23.397875,3687.51,26,1.18,1.3916350000000002,219.32,3468.19
NSDL Payments Bank Ltd,788.53,23.058859,3634.08,19,2.92,0.5519710000000001,86.99,3547.09
UCO Bank,6094.11,22.733377,3582.78,26,0.37,4.265877000000001,672.3,2910.48
Indian Bank,14150.59,22.639418,3567.97,26,0.16,9.905413000000001,1561.09,2006.88
Rajasthan Gramin Bank,874.56,22.492571,3544.83,26,2.57,0.6121920000000001,96.48,3448.35
Kerala Gramin Bank,1053.86,19.930536,3141.05,26,1.89,0.7377020000000001,116.26,3024.79
ICICI Bank Ltd,17662.53,17.284581,2724.05,26,0.1,12.363771000000002,1948.53,775.52
Maharashtra Gramin Bank,811.05,17.212591,2712.7,26,2.12,0.5677350000000001,89.48,2623.22
Jio Payments Bank Ltd,1044.01,16.769868000000002,2642.93,21,1.61,0.7308070000000001,115.18,2527.75
Punjab & Sind Bank,1284.54,15.94932,2513.61,26,1.24,0.8991780000000001,141.71,2371.9
Indusind Bank Ltd,4843.12,15.415244,2429.44,26,0.32,3.3901840000000005,534.29,1895.15
Karnataka Bank Ltd,3356.07,13.737166,2164.98,26,0.41,2.3492490000000004,370.24,1794.74
Telangana Grameena Bank,559.02,11.919221,1878.47,14,2.13,0.39131400000000005,61.67,1816.8
AU Small Finance Bank,1877.54,10.244749,1614.57,26,0.55,1.314278,207.13,1407.44
Sarva Haryana Gramin Bank,557.8,10.131107,1596.66,25,1.82,0.39046000000000003,61.54,1535.12
Karur Vysya Bank,2146.12,9.62676,1517.18,26,0.45,1.5022840000000002,236.76,1280.42
Federal Bank Ltd,6224.34,8.166343,1287.02,26,0.13,4.357038000000001,686.67,600.35
Axis Bank Ltd,20892.59,8.049528,1268.61,26,0.04,14.624813000000001,2304.87,-1036.26
Tamilnad Mercantile Bank Ltd,1237.28,6.518114,1027.25,26,0.53,0.8660960000000001,136.5,890.75
YES Bank Ltd,3935.19,6.275256,988.98,26,0.16,2.7546330000000006,434.13,554.85
Ujjivan Small Finance Bank Ltd,1288.47,6.166991,971.92,26,0.48,0.9019290000000002,142.14,829.78
RBL Bank Ltd,635.29,6.11904,964.36,24,0.96,0.444703,70.09,894.27
ESAF Small Finance Bank Ltd,755.65,5.605272,883.39,26,0.74,0.5289550000000001,83.36,800.03
IDFC First Bank Ltd,2699.85,3.181591,501.42,26,0.12,1.889895,297.85,203.57
Saraswat Co-operative Bank Ltd,711.48,2.9470650000000003,464.46,26,0.41,0.4980360000000001,78.49,385.97
City Union Bank Ltd,1283.75,2.661303,419.42,26,0.21,0.8986250000000001,141.62,277.8
Standard Chartered Bank,517.08,2.6444520000000002,416.77,20,0.51,0.36195600000000006,57.04,359.73
The South Indian Bank Ltd,1707.06,2.291877,361.2,26,0.13,1.1949420000000002,188.32,172.88
Equitas Small Finance Bank Ltd,769.65,1.729734,272.61,25,0.22,0.5387550000000001,84.91,187.7
DBS Bank India Ltd,764.39,1.309035,206.3,26,0.17,0.535073,84.33,121.97
