
bank_name,file_type,source_file
AU Small Finance Bank,remitter,upi_remitter_2024_06.xlsx
AU Small Finance Bank,beneficiary,upi_beneficiary_2024_12.xlsx
AU Small Finance Bank (Erstwhile Fincare),remitter,upi_remitter_2024_07.xlsx
AU small Finance Bank,beneficiary,upi_beneficiary_2024_01.xlsx
AU small Finance Bank,remitter,upi_remitter_2024_01.xlsx
Airtel Payments Bank,remitter,upi_remitter_2024_01.xlsx
Airtel Payments Bank,beneficiary,upi_beneficiary_2024_01.xlsx
Airtel Payments Bank Limited,remitter,upi_remitter_2024_10.xlsx
Airtel Payments Bank Limited,beneficiary,upi_beneficiary_2024_12.xlsx
Airtel Payments Bank Ltd,remitter,upi_remitter_2024_06.xlsx
Airtel Payments Bank Ltd,beneficiary,upi_beneficiary_2024_06.xlsx
Airtel Payments Bank Ltd.,remitter,upi_remitter_2024_11.xlsx
Andhra Pradesh Grameena Bank,beneficiary,upi_beneficiary_2025_11.xlsx
Andhra Pradesh Grameena Bank,remitter,upi_remitter_2025_11.xlsx
Andhra Pradesh Grameena Vikas Bank,remitter,upi_remitter_2024_01.xlsx
Andhra Pradesh Grameena Vikas Bank,beneficiary,upi_beneficiary_2024_01.xlsx
Andhra Pradesh Grameena Vikas Bank - IMPS,remitter,upi_remitter_2024_07.xlsx
Andhra Pragathi Grameena Bank,beneficiary,upi_beneficiary_2024_01.xlsx
Andhra Pragathi Grameena Bank,remitter,upi_remitter_2024_02.xlsx
Axis Bank,beneficiary,upi_beneficiary_2024_11.xlsx
Axis Bank Credit Card,remitter,upi_remitter_2025_08.xlsx
Axis Bank Ltd,beneficiary,upi_beneficiary_2024_05.xlsx
Axis Bank Ltd.,remitter,upi_remitter_2024_01.xlsx
Axis Bank Ltd.,beneficiary,upi_beneficiary_2024_01.xlsx
Axis bank Ltd.,remitter,upi_remitter_2024_07.xlsx
Axis bank Ltd.,beneficiary,upi_beneficiary_2024_07.xlsx
BANDHAN BANK LIMITED,remitter,upi_remitter_2025_09.xlsx
BANDHAN BANK LIMITED,beneficiary,upi_beneficiary_2025_09.xlsx
Bandhan Bank,remitter,upi_remitter_2024_01.xlsx
Bandhan Bank,beneficiary,upi_beneficiary_2024_01.xlsx
Bandhan Bank Limited,remitter,upi_remitter_2024_09.xlsx
Bandhan Bank Ltd.,beneficiary,upi_beneficiary_2024_06.xlsx
Bandhan Bank Ltd.,remitter,upi_remitter_2024_06.xlsx
Bandhan Bank limited,beneficiary,upi_beneficiary_2024_11.xlsx
Bandhan Bank limited,remitter,upi_remitter_2024_07.xlsx
Bank Of India,remitter,upi_remitter_2024_06.xlsx
Bank Of India,beneficiary,upi_beneficiary_2024_05.xlsx
Bank of Baroda,remitter,upi_remitter_2024_01.xlsx
Bank of Baroda,beneficiary,upi_beneficiary_2024_01.xlsx
Bank of India,beneficiary,upi_beneficiary_2024_01.xlsx
Bank of India,remitter,upi_remitter_2024_01.xlsx
Bank of Maharashtra,remitter,upi_remitter_2024_01.xlsx
Bank of Maharashtra,beneficiary,upi_beneficiary_2024_01.xlsx
Baroda U.P. Bank,beneficiary,upi_beneficiary_2024_12.xlsx
Baroda U.P. Bank,remitter,upi_remitter_2024_11.xlsx
Baroda U.P. Bank (Erstwhile Baroda Uttar Pradesh Gramin Bank),remitter,upi_remitter_2024_07.xlsx
Baroda UP Gramin Bank,beneficiary,upi_beneficiary_2024_01.xlsx
Baroda UP Gramin Bank,remitter,upi_remitter_2024_01.xlsx
Baroda Uttar Pradesh Gramin Bank,beneficiary,upi_beneficiary_2024_05.xlsx
Baroda Uttar Pradesh Gramin Bank,remitter,upi_remitter_2024_06.xlsx
